EquivalentGPUkernelcalls,time
1,0m0.117s
11,0m0.123s
21,0m0.129s
31,0m0.166s
41,0m0.211s
51,0m0.240s
61,0m0.254s
71,0m0.309s
81,0m0.304s
91,0m0.332s
101,0m0.331s
111,0m0.379s
121,0m0.392s
131,0m0.452s
141,0m0.480s
151,0m0.481s
161,0m0.518s
171,0m0.549s
181,0m0.573s
191,0m0.605s
201,0m0.619s
211,0m0.706s
221,0m0.688s
231,0m0.702s
241,0m0.738s
251,0m0.766s
261,0m0.801s
271,0m0.906s
281,0m0.849s
291,0m0.874s
301,0m0.908s
311,0m0.944s
321,0m0.961s
331,0m1.000s
341,0m1.026s
351,0m1.043s
361,0m1.074s
371,0m1.114s
381,0m1.148s
391,0m1.159s
401,0m1.184s
411,0m1.216s
421,0m1.243s
431,0m1.269s
441,0m1.300s
451,0m1.332s
461,0m1.373s
471,0m1.385s
481,0m1.418s
491,0m1.449s
